"Year","Month","Date","Revenue"
"1999","Jul-99","1999-07-15 00:00:00","12899791.80"
"1999","Aug-99","1999-08-15 00:00:00","18286732.80"
"1999","Sep-99","1999-09-08 00:00:00","21593.88"
"1999","Sep-99","1999-09-10 00:00:00","10796.94"
"1999","Sep-99","1999-09-15 00:00:00","29238701.94"
"1999","Oct-99","1999-10-15 00:00:00","31913542.08"
"1999","Nov-99","1999-11-15 00:00:00","32569200.09"
"1999","Nov-99","1999-11-28 00:00:00","10796.94"
"1999","Dec-99","1999-12-15 00:00:00","29755405.89"
"1999","Dec-99","1999-12-30 00:00:00","10796.94"
"2000","Jan-00","2000-01-01 00:00:00","2237.76"
"2000","Jan-00","2000-01-03 00:00:00","2237.76"
"2000","Jan-00","2000-01-13 00:00:00","1725.57"
"2000","Jan-00","2000-01-15 00:00:00","25779917.52"
"2000","Jan-00","2000-01-24 00:00:00","1725.57"
"2000","Jan-00","2000-01-30 00:00:00","2237.76"
"2000","Feb-00","2000-02-02 00:00:00","1725.57"
"2000","Feb-00","2000-02-15 00:00:00","20690765.55"
"2000","Feb-00","2000-02-18 00:00:00","2237.76"
"2000","Feb-00","2000-02-20 00:00:00","2237.76"
"2000","Feb-00","2000-02-21 00:00:00","2237.76"
"2000","Feb-00","2000-02-26 00:00:00","2237.76"
"2000","Feb-00","2000-02-29 00:00:00","10796.94"
"2000","Mar-00","2000-03-02 00:00:00","10796.94"
"2000","Mar-00","2000-03-11 00:00:00","1725.57"
"2000","Mar-00","2000-03-15 00:00:00","20185222.68"
"2000","Mar-00","2000-03-17 00:00:00","3963.33"
"2000","Mar-00","2000-03-18 00:00:00","1725.57"
"2000","Mar-00","2000-03-21 00:00:00","3451.14"
"2000","Mar-00","2000-03-23 00:00:00","1725.57"
"2000","Mar-00","2000-03-29 00:00:00","8693.37"
"2000","Apr-00","2000-04-01 00:00:00","10418.94"
"2000","Apr-00","2000-04-02 00:00:00","1725.57"
"2000","Apr-00","2000-04-06 00:00:00","2237.76"
"2000","Apr-00","2000-04-09 00:00:00","1725.57"
"2000","Apr-00","2000-04-12 00:00:00","1469.79"
"2000","Apr-00","2000-04-14 00:00:00","4962.51"
"2000","Apr-00","2000-04-15 00:00:00","17850968.73"
"2000","Apr-00","2000-04-19 00:00:00","3451.14"
"2000","Apr-00","2000-04-22 00:00:00","1725.57"
"2000","Apr-00","2000-04-27 00:00:00","4962.51"
"2000","Apr-00","2000-04-30 00:00:00","2939.58"
"2000","May-00","2000-05-04 00:00:00","1725.57"
"2000","May-00","2000-05-07 00:00:00","1725.57"
"2000","May-00","2000-05-13 00:00:00","1469.79"
"2000","May-00","2000-05-15 00:00:00","18177345.90"
"2000","May-00","2000-05-18 00:00:00","10163.16"
"2000","May-00","2000-05-19 00:00:00","1469.79"
"2000","May-00","2000-05-20 00:00:00","8693.37"
"2000","May-00","2000-05-24 00:00:00","10931.13"
"2000","May-00","2000-05-26 00:00:00","1469.79"
"2000","Jun-00","2000-06-01 00:00:00","13870.71"
"2000","Jun-00","2000-06-02 00:00:00","1469.79"
"2000","Jun-00","2000-06-15 00:00:00","19339618.41"
"2000","Jun-00","2000-06-16 00:00:00","1469.79"
"2000","Jun-00","2000-06-18 00:00:00","3451.14"
"2000","Jun-00","2000-06-21 00:00:00","1725.57"
"2000","Jun-00","2000-06-23 00:00:00","1469.79"
"2000","Jun-00","2000-06-30 00:00:00","2939.58"
"2000","Jul-00","2000-07-01 00:00:00","9959197.50"
"2000","Jul-00","2000-07-02 00:00:00","3653.37"
"2000","Jul-00","2000-07-03 00:00:00","452602.08"
"2000","Jul-00","2000-07-04 00:00:00","537534.27"
"2000","Jul-00","2000-07-05 00:00:00","413636.58"
"2000","Jul-00","2000-07-06 00:00:00","277198.74"
"2000","Jul-00","2000-07-07 00:00:00","286808.76"
"2000","Jul-00","2000-07-08 00:00:00","68181.75"
"2000","Jul-00","2000-07-09 00:00:00","2581.74"
"2000","Jul-00","2000-07-10 00:00:00","271586.07"
"2000","Jul-00","2000-07-11 00:00:00","290664.36"
"2000","Jul-00","2000-07-12 00:00:00","304450.02"
"2000","Jul-00","2000-07-13 00:00:00","369084.24"
"2000","Jul-00","2000-07-14 00:00:00","336984.48"
"2000","Jul-00","2000-07-15 00:00:00","60498.90"
"2000","Jul-00","2000-07-17 00:00:00","451270.26"
"2000","Jul-00","2000-07-18 00:00:00","375629.94"
"2000","Jul-00","2000-07-19 00:00:00","200309.76"
"2000","Jul-00","2000-07-20 00:00:00","301815.99"
"2000","Jul-00","2000-07-21 00:00:00","451770.48"
"2000","Jul-00","2000-07-22 00:00:00","99526.77"
"2000","Jul-00","2000-07-23 00:00:00","20470.59"
"2000","Jul-00","2000-07-24 00:00:00","410153.94"
"2000","Jul-00","2000-07-25 00:00:00","338804.55"
"2000","Jul-00","2000-07-26 00:00:00","360126.27"
"2000","Jul-00","2000-07-27 00:00:00","329244.30"
"2000","Jul-00","2000-07-28 00:00:00","426099.24"
"2000","Jul-00","2000-07-29 00:00:00","47353.95"
"2000","Jul-00","2000-07-30 00:00:00","8943.48"
"2000","Jul-00","2000-07-31 00:00:00","621236.70"
"2000","Aug-00","2000-08-01 00:00:00","10827696.60"
"2000","Aug-00","2000-08-02 00:00:00","457938.81"
"2000","Aug-00","2000-08-03 00:00:00","426094.83"
"2000","Aug-00","2000-08-04 00:00:00","332593.38"
"2000","Aug-00","2000-08-05 00:00:00","1469.79"
"2000","Aug-00","2000-08-07 00:00:00","479456.46"
"2000","Aug-00","2000-08-08 00:00:00","462336.21"
"2000","Aug-00","2000-08-09 00:00:00","392222.88"
"2000","Aug-00","2000-08-10 00:00:00","309964.41"
"2000","Aug-00","2000-08-11 00:00:00","418834.08"
"2000","Aug-00","2000-08-12 00:00:00","42991.83"
"2000","Aug-00","2000-08-14 00:00:00","551944.26"
"2000","Aug-00","2000-08-15 00:00:00","388093.86"
"2000","Aug-00","2000-08-16 00:00:00","483704.55"
"2000","Aug-00","2000-08-17 00:00:00","569719.71"
"2000","Aug-00","2000-08-18 00:00:00","587875.68"
"2000","Aug-00","2000-08-19 00:00:00","10703.70"
"2000","Aug-00","2000-08-21 00:00:00","443772.63"
"2000","Aug-00","2000-08-22 00:00:00","716059.26"
"2000","Aug-00","2000-08-23 00:00:00","594485.64"
"2000","Aug-00","2000-08-24 00:00:00","650226.15"
"2000","Aug-00","2000-08-25 00:00:00","553443.66"
"2000","Aug-00","2000-08-26 00:00:00","187255.53"
"2000","Aug-00","2000-08-28 00:00:00","1002244.32"
"2000","Aug-00","2000-08-29 00:00:00","1498063.77"
"2000","Sep-00","2000-09-01 00:00:00","12748973.58"
"2000","Sep-00","2000-09-02 00:00:00","755110.44"
"2000","Sep-00","2000-09-03 00:00:00","654765.93"
"2000","Sep-00","2000-09-04 00:00:00","16751.70"
"2000","Sep-00","2000-09-06 00:00:00","869479.38"
"2000","Sep-00","2000-09-07 00:00:00","743936.13"
"2000","Sep-00","2000-09-08 00:00:00","838465.11"
"2000","Sep-00","2000-09-09 00:00:00","921938.22"
"2000","Sep-00","2000-09-10 00:00:00","819433.44"
"2000","Sep-00","2000-09-11 00:00:00","18353.79"
"2000","Sep-00","2000-09-12 00:00:00","10796.94"
"2000","Sep-00","2000-09-13 00:00:00","1310856.75"
"2000","Sep-00","2000-09-14 00:00:00","963062.10"
"2000","Sep-00","2000-09-15 00:00:00","1042186.95"
"2000","Sep-00","2000-09-16 00:00:00","1128147.93"
"2000","Sep-00","2000-09-17 00:00:00","797377.14"
"2000","Sep-00","2000-09-18 00:00:00","59535.63"
"2000","Sep-00","2000-09-19 00:00:00","7871.85"
"2000","Sep-00","2000-09-20 00:00:00","1141697.97"
"2000","Sep-00","2000-09-21 00:00:00","1116892.98"
"2000","Sep-00","2000-09-22 00:00:00","1074406.41"
"2000","Sep-00","2000-09-23 00:00:00","1123896.69"
"2000","Sep-00","2000-09-24 00:00:00","985192.11"
"2000","Sep-00","2000-09-25 00:00:00","82303.20"
"2000","Sep-00","2000-09-27 00:00:00","1599718.68"
"2000","Sep-00","2000-09-28 00:00:00","1539664.56"
"2000","Sep-00","2000-09-29 00:00:00","1784560.68"
"2000","Sep-00","2000-09-30 00:00:00","5027266.44"
"2000","Oct-00","2000-10-01 00:00:00","12342643.74"
"2000","Oct-00","2000-10-03 00:00:00","1270386.18"
