"Year","Month","ProductID","Revenue","Units"
"1999","Jul-99","25","19026","2"
"1999","Jul-99","36","24885","5"
"1999","Jul-99","94","10074","1"
"1999","Jul-99","120","39816","4"
"1999","Jul-99","139","6552","1"
"1999","Jul-99","195","27008","3"
"1999","Jul-99","226","9132","1"
"1999","Jul-99","234","9696","2"
"1999","Jul-99","248","12594","2"
"1999","Jul-99","318","31176","3"
"1999","Jul-99","326","17004","2"
"1999","Jul-99","343","10392","1"
"1999","Jul-99","370","19458","3"
"1999","Jul-99","381","15180","1"
"1999","Jul-99","396","801981","78"
"1999","Jul-99","400","148037","18"
"1999","Jul-99","415","5950","1"
"1999","Jul-99","426","19237","2"
"1999","Jul-99","433","115819","12"
"1999","Jul-99","443","380640","40"
"1999","Jul-99","475","430372","37"
"1999","Jul-99","485","9686","1"
"1999","Jul-99","488","69854","6"
"1999","Jul-99","491","547898","56"
"1999","Jul-99","495","33658","5"
"1999","Jul-99","499","152117","15"
"1999","Jul-99","510","40307","4"
"1999","Jul-99","513","11336","2"
"1999","Jul-99","521","6677","1"
"1999","Jul-99","530","15056","2"
"1999","Jul-99","532","39749","6"
"1999","Jul-99","550","96903","20"
"1999","Jul-99","559","148299","21"
"1999","Jul-99","571","5887","1"
"1999","Jul-99","573","71017","21"
"1999","Jul-99","574","79733","8"
"1999","Jul-99","580","105985","12"
"1999","Jul-99","596","170384","19"
"1999","Jul-99","599","271310","30"
"1999","Jul-99","604","177298","32"
"1999","Jul-99","606","49326","13"
"1999","Jul-99","609","720537","77"
"1999","Jul-99","612","11038","1"
"1999","Jul-99","631","104552","25"
"1999","Jul-99","645","278973","31"
"1999","Jul-99","658","195048","18"
"1999","Jul-99","663","92034","10"
"1999","Jul-99","676","685944","71"
"1999","Jul-99","681","189287","25"
"1999","Jul-99","683","132417","14"
"1999","Jul-99","687","96346","18"
"1999","Jul-99","702","10299","3"
"1999","Jul-99","713","24971","13"
"1999","Jul-99","714","24971","13"
"1999","Jul-99","725","117756","85"
"1999","Jul-99","726","117756","85"
"1999","Jul-99","727","46645","61"
"1999","Jul-99","728","46645","61"
"1999","Jul-99","729","3622","1"
"1999","Jul-99","730","3622","1"
"1999","Jul-99","739","38891","19"
"1999","Jul-99","740","38891","19"
"1999","Jul-99","743","9732","3"
"1999","Jul-99","744","9732","3"
"1999","Jul-99","747","3496","1"
"1999","Jul-99","748","3496","1"
"1999","Jul-99","753","32155","11"
"1999","Jul-99","754","32155","11"
"1999","Jul-99","757","83612","83"
"1999","Jul-99","758","83612","83"
"1999","Jul-99","767","56672","45"
"1999","Jul-99","768","56672","45"
"1999","Jul-99","769","55555","18"
"1999","Jul-99","770","55555","18"
"1999","Jul-99","771","9919","5"
"1999","Jul-99","772","9919","5"
"1999","Jul-99","795","52910","16"
"1999","Jul-99","796","52910","16"
"1999","Jul-99","797","134009","37"
"1999","Jul-99","801","3464","1"
"1999","Jul-99","823","7433","1"
"1999","Jul-99","833","9575","1"
"1999","Jul-99","837","19529","2"
"1999","Jul-99","838","112071","10"
"1999","Jul-99","847","21103","3"
"1999","Jul-99","852","27151","3"
"1999","Jul-99","863","3590","1"
"1999","Jul-99","901","63874","13"
"1999","Jul-99","910","4976","1"
"1999","Jul-99","914","7244","1"
"1999","Jul-99","921","18898","3"
"1999","Jul-99","922","28347","5"
"1999","Jul-99","932","5039","1"
"1999","Jul-99","935","5858","1"
"1999","Jul-99","936","53859","9"
